Elapsed Time, Bank, EEPROM, Failures
903, 0, 3, 0
909, 0, 4, 0
916, 0, 5, 0
923, 0, 6, 0
930, 0, 7, 0
932, 1, 0, 0
933, 1, 1, 0
934, 1, 2, 0
935, 1, 3, 0
939, 1, 4, 0
944, 1, 5, 0
950, 1, 6, 0
957, 1, 7, 0
957, 0, 0, 0
957, 0, 1, 0
957, 0, 2, 0
958, 0, 3, 0
964, 0, 4, 0
970, 0, 5, 0
976, 0, 6, 0
982, 0, 7, 0
984, 1, 0, 0
985, 1, 1, 0
986, 1, 2, 0
987, 1, 3, 0
990, 1, 4, 0
995, 1, 5, 0
1001, 1, 6, 0
1007, 1, 7, 0
1008, 0, 0, 0
1008, 0, 1, 0
1008, 0, 2, 0
1008, 0, 3, 0
1014, 0, 4, 0
1021, 0, 5, 0
1027, 0, 6, 0
1033, 0, 7, 0
1034, 1, 0, 0
1036, 1, 1, 0
1036, 1, 2, 0
1037, 1, 3, 0
1041, 1, 4, 0
1047, 1, 5, 0
1053, 1, 6, 0
1059, 1, 7, 0
1059, 0, 0, 0
1060, 0, 1, 0
1060, 0, 2, 0
1060, 0, 3, 0
1066, 0, 4, 0
1072, 0, 5, 0
1078, 0, 6, 0
1085, 0, 7, 0
1086, 1, 0, 0
1087, 1, 1, 0
1088, 1, 2, 0
1089, 1, 3, 0
1092, 1, 4, 0
1098, 1, 5, 0
1105, 1, 6, 0
1111, 1, 7, 0
1111, 0, 0, 0
1111, 0, 1, 0
1111, 0, 2, 0
1112, 0, 3, 0
1118, 0, 4, 0
1124, 0, 5, 0
1130, 0, 6, 0
1136, 0, 7, 0
1138, 1, 0, 0
1139, 1, 1, 0
1140, 1, 2, 0
1140, 1, 3, 0
1144, 1, 4, 0
1150, 1, 5, 0
1156, 1, 6, 0
1163, 1, 7, 0
1163, 0, 0, 0
1163, 0, 1, 0
1163, 0, 2, 0
1163, 0, 3, 0
1169, 0, 4, 0
1176, 0, 5, 0
1182, 0, 6, 0
1188, 0, 7, 0
1189, 1, 0, 0
1190, 1, 1, 0
1191, 1, 2, 0
1192, 1, 3, 0
1196, 1, 4, 0
1202, 1, 5, 0
1208, 1, 6, 0
1215, 1, 7, 0
1215, 0, 0, 0
1215, 0, 1, 0
1215, 0, 2, 0
1215, 0, 3, 0
1222, 0, 4, 0
1228, 0, 5, 0
1235, 0, 6, 0
1242, 0, 7, 0
1244, 1, 0, 0
1245, 1, 1, 0
1246, 1, 2, 0
1247, 1, 3, 0
1251, 1, 4, 0
1258, 1, 5, 0
1265, 1, 6, 0
1272, 1, 7, 0
1272, 0, 0, 0
1273, 0, 1, 0
1273, 0, 2, 0
1273, 0, 3, 0
1279, 0, 4, 0
1285, 0, 5, 0
1291, 0, 6, 0
1298, 0, 7, 0
1299, 1, 0, 0
1300, 1, 1, 0
1301, 1, 2, 0
1302, 1, 3, 0
1308, 1, 4, 0
1314, 1, 5, 0
1320, 1, 6, 0
1326, 1, 7, 0
1326, 0, 0, 0
1327, 0, 1, 0
1327, 0, 2, 0
1327, 0, 3, 0
1333, 0, 4, 0
1340, 0, 5, 0
1347, 0, 6, 0
1354, 0, 7, 0
1356, 1, 0, 0
1356, 1, 1, 0
1358, 1, 2, 0
1359, 1, 3, 0
1366, 1, 4, 0
1373, 1, 5, 0
1380, 1, 6, 0
1387, 1, 7, 0
1387, 0, 0, 0
1387, 0, 1, 0
1387, 0, 2, 0
1387, 0, 3, 0
1394, 0, 4, 0
1400, 0, 5, 0
1406, 0, 6, 0
1412, 0, 7, 0
1413, 1, 0, 0
1414, 1, 1, 0
1416, 1, 2, 0
1417, 1, 3, 0
1423, 1, 4, 0
1430, 1, 5, 0
1436, 1, 6, 0
1442, 1, 7, 0
1442, 0, 0, 0
1442, 0, 1, 0
1442, 0, 2, 0
1443, 0, 3, 0
1449, 0, 4, 0
1455, 0, 5, 0
1461, 0, 6, 0
1467, 0, 7, 0
1469, 1, 0, 0
1470, 1, 1, 0
1471, 1, 2, 0
1473, 1, 3, 0
1479, 1, 4, 0
1485, 1, 5, 0
1491, 1, 6, 0
1497, 1, 7, 0
1497, 0, 0, 0
1498, 0, 1, 0
1498, 0, 2, 0
1498, 0, 3, 0
1504, 0, 4, 0
1511, 0, 5, 0
1518, 0, 6, 0
1525, 0, 7, 0
1526, 1, 0, 0
1528, 1, 1, 0
1529, 1, 2, 0
1531, 1, 3, 0
1536, 1, 4, 0
1541, 1, 5, 0
1547, 1, 6, 0
1553, 1, 7, 0
1553, 0, 0, 0
1553, 0, 1, 0
1553, 0, 2, 0
1554, 0, 3, 0
1561, 0, 4, 0
1567, 0, 5, 0
1574, 0, 6, 0
1581, 0, 7, 0
1583, 1, 0, 0
1584, 1, 1, 0
1586, 1, 2, 0
1587, 1, 3, 0
1594, 1, 4, 0
1601, 1, 5, 0
1608, 1, 6, 0
1615, 1, 7, 0
1615, 0, 0, 0
1615, 0, 1, 0
1616, 0, 2, 0
1616, 0, 3, 0
1623, 0, 4, 0
1630, 0, 5, 0
1636, 0, 6, 0
1643, 0, 7, 0
1645, 1, 0, 0
1646, 1, 1, 0
1648, 1, 2, 0
1650, 1, 3, 0
1657, 1, 4, 0
1663, 1, 5, 0
1670, 1, 6, 0
1677, 1, 7, 0
1677, 0, 0, 0
1678, 0, 1, 0
1678, 0, 2, 0
1678, 0, 3, 0
1685, 0, 4, 0
1692, 0, 5, 0
1699, 0, 6, 0
1706, 0, 7, 0
1707, 1, 0, 0
1709, 1, 1, 0
1710, 1, 2, 0
1712, 1, 3, 0
1719, 1, 4, 0
1726, 1, 5, 0
1733, 1, 6, 0
1740, 1, 7, 0
1740, 0, 0, 0
1740, 0, 1, 0
1740, 0, 2, 0
1740, 0, 3, 0
1747, 0, 4, 0
1754, 0, 5, 0
1761, 0, 6, 0
1768, 0, 7, 0
1769, 1, 0, 0
1771, 1, 1, 0
1772, 1, 2, 0
1774, 1, 3, 0
1781, 1, 4, 0
1788, 1, 5, 0
1795, 1, 6, 0
1802, 1, 7, 0
